STATE,COUNTY,MUNICIPALITY,LATITUDE,LONGITUDE,COLLECTOR,DATE COLLECTED,TRAP TYPE,DATE TRAP LAST SERVICED,HOST PLANT,FAMILY,GENUS,SPECIES,DETERMINER,DETERMINED DATE
California,Imperial,EL CENTRO,32.79,-115.56,CULVER,1993-05-29,,,Ceratonia siliqua,Aleyrodidae,Tetraleurodes,acaciae,"Gill, Raymond",1993-06-11
California,San Diego,San Diego,32.79,-117.14,Aaron Neville,2005-01-06,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,San Diego,32.79,-117.14,Aaron Neville,2005-01-06,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,San Diego,32.79,-117.14,Aaron Neville,2005-01-06,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,San Diego,32.79,-117.07,Aaron Neville,2005-01-06,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,Imperial,El Centro,32.79,-115.56,Nelson Perez,2005-08-08,Yellow GWSS trap,2005-07-27,Citrus sp.,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-09
California,Imperial,El Centro,32.79,-115.58,Nelson Perez,2005-07-30,Yellow GWSS trap,2005-07-27,,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-03
California,Imperial,El Centro,32.79,-115.58,Nelson Perez,2005-07-30,Yellow GWSS trap,2005-07-27,,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-03
California,Imperial,El Centro,32.79,-115.58,Nelson Perez,2005-07-30,Yellow GWSS trap,2005-07-27,,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-03
California,Imperial,El Centro,32.79,-115.57,Nelson Perez,2005-07-30,Yellow GWSS trap,2005-07-27,Morus alba,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-03
California,Imperial,El Centro,32.79,-115.57,Nelson Perez,2005-07-30,Yellow GWSS trap,2005-07-27,,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-03
California,Imperial,El Centro,32.79,-115.56,Nelson Perez,2005-08-08,Yellow GWSS trap,2005-07-27,Punica granatum,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-09
California,Imperial,El Centro,32.79,-115.58,Roy Vasquez,2006-11-08,,,,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2006-11-09
California,Imperial,El Centro,32.79,-115.54,Marcos Camargo/ Nelson Perez,2005-07-14,,,Bougainvillea sp.,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-07-21
California,Imperial,El Centro,32.79,-115.54,Marcos Camargo/ Nelson Perez,2005-07-14,,,Bougainvillea sp.,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-07-21
California,Imperial,El Centro,32.79,-115.57,Nelson Perez/ John Hamilton,2005-12-12,,,,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-12-13
California,Imperial,El Centro,32.79,-115.57,Nelson Perez,2005-07-13,,,Citrus sp.,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-07-26
California,Imperial,El Centro,32.79,-115.57,Nelson Perez,2005-07-18,,,Callistemon sp,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-07-26
California,Imperial,El Centro,32.79,-115.57,Nelson Perez,2005-07-18,,,Callistemon sp,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-07-25
California,Imperial,EL CENTRO,32.79,-115.58,CAMARGO,2000-02-22,,,Citrus paradisi,Diaspididae,Aonidiella,aurantii,"Gill, Raymond",2000-09-27
California,Imperial,El Centro,32.79,-115.54,Rachel Nilson/ Stephanie Holtz,2005-09-19,,,,Pseudococcidae,Distichlicoccus,arundinis,"Watson, Gillian",2005-09-22
California,Imperial,El Centro,32.79,-115.54,Rachel Nilson/ Stephanie Holtz,2005-09-19,,,,Pseudococcidae,Ferrisia,virgata,"Watson, Gillian",2005-09-22
California,Imperial,Seeley,32.79,-115.69,R Nilson,2012-11-15,,,Nerium oleander,Pseudococcidae,Ferrisia,virgata,"von Ellenrieder, Natalia",2012-11-16
California,Imperial,EL CENTRO,32.79,-115.56,BRIGMAN,2001-07-06,,,Gossypium sp.,Pseudococcidae,Phenacoccus,solenopsis,"Gill, Raymond",2001-07-11
California,Imperial,Seeley,32.79,-115.69,J Andreotti,2011-04-11,Jackson trap,2011-04-04,Ficus carica,Psyllidae,Homotoma,ficus,"Rung, Alessandra",2011-04-12
California,Imperial,Holtville,32.8,-115.44,Victor Huezo,2005-04-18,,,Cucumis melo,Aleyrodidae,Bemisia,tabaci,"Kerr, Peter",2005-05-05
California,Riverside,EL CENTRO,32.8,-115.49,METCALF/REEVES,1992-10-05,,,Ulmus parvifolia,Aleyrodidae,Bemisia,tabaci,"Gill, Raymond",1992-11-24
