"mean","cil","ciu","rhat","params"
-5.48854435470645,-10.2094347258884,-2.77183922244614,1.00774743545514,"alpha[26]"
-5.19836440437881,-9.81427800783508,-2.22261720390259,1.005742310304,"alpha[27]"
-5.36671996971771,-9.99143894447148,-2.57276012798804,1.00708507539185,"alpha[28]"
-5.42432061396928,-9.99217728194814,-2.70421019532744,1.00444406116691,"alpha[29]"
-5.17957135956132,-9.84252944595881,-2.12171579994788,1.00506218282059,"alpha[30]"
-5.18172786135784,-9.90376701505156,-2.0794531298169,1.00433433537933,"alpha[31]"
-5.23411569493758,-9.94125479847532,-2.2343383783732,1.00266125595858,"alpha[32]"
-5.24031519936262,-9.91521435947122,-2.31728187843881,1.00542686752965,"alpha[33]"
-5.208457945135,-9.93069762147459,-2.14133081264009,1.00490693845146,"alpha[34]"
-5.25265379400456,-9.90025536509495,-2.33613054047584,1.0036918030444,"alpha[35]"
-5.31614385501116,-9.97026681950909,-2.52921234120172,1.00408249908602,"alpha[36]"
-5.27335589702276,-9.99072453714162,-2.41656207293549,1.00216042198993,"alpha[37]"
-5.20961596076963,-9.92239062713625,-2.17102569601968,1.00632739605166,"alpha[38]"
-5.25868533548962,-9.91305873064364,-2.34868674467113,1.00785951248968,"alpha[39]"
-5.48731272239766,-10.1636900728944,-2.72633966951959,1.00535389276017,"alpha[40]"
-5.32469177038407,-9.95953849938342,-2.5725095529439,1.00336352289602,"alpha[41]"
-5.26802470757556,-9.95901866142175,-2.43590404557084,1.00598906276146,"alpha[42]"
-5.22026930913444,-9.92018488079113,-2.24009436959507,1.00463206555287,"alpha[43]"
-5.19711724865685,-9.92818755238737,-2.19543980672348,1.00489470834921,"alpha[44]"
-5.16913379599846,-9.87257657749373,-2.13938700744992,1.00363649087403,"alpha[45]"
-5.36741876473509,-10.0414445853361,-2.62247651474834,1.0031987053935,"alpha[46]"
-5.20135499914604,-9.96371914672542,-2.21487374112949,1.00470863090984,"alpha[47]"
-5.43331555667295,-10.1190299605063,-2.69238839603449,1.00761737789175,"alpha[48]"
-5.29447639861695,-9.93676121671363,-2.49159285846823,1.00430741543756,"alpha[49]"
-5.44083186422311,-10.1487160013511,-2.70600427664932,1.00577070377633,"alpha[50]"
-5.21007548489861,-9.99505997434263,-2.229633376648,1.00904670804438,"alpha[51]"
-5.19029344429515,-9.81037836516854,-2.12116436441897,1.0060509193025,"alpha[52]"
-5.22354873844091,-9.85037396958812,-2.28238489589582,1.00334009652401,"alpha[53]"
-5.17048171262916,-9.92630006604538,-2.09726379489047,1.00482537274323,"alpha[54]"
-5.29836385945855,-9.92316628379956,-2.49542435144485,1.00484192953806,"alpha[55]"
-5.19291462531701,-9.90840234158082,-2.20561590499747,1.00423182645187,"alpha[56]"
-5.44021399921525,-10.0655185018162,-2.7039597125486,1.00837743415448,"alpha[57]"
-5.28558935593323,-9.90932206026395,-2.4194349430339,1.00297097070286,"alpha[58]"
-5.43281076728329,-10.0146301459117,-2.74439105010658,1.0077425960546,"alpha[59]"
-3.62078700064776,-5.29062770532168,-2.03306566014427,1.00060751636297,"alpha[60]"
-5.31171252557565,-10.007305908885,-2.46413371720951,1.00726171737125,"alpha[61]"
-5.21011226942214,-9.93077655872259,-2.23455037392645,1.00408385400674,"alpha[62]"
-5.3494352723565,-10.1308689153151,-2.58948660527031,1.00407749270835,"alpha[63]"
-5.27311233523931,-9.91353960361061,-2.38626793527725,1.0063757746936,"alpha[64]"
-5.19185280103133,-9.83564259633461,-2.18429847258924,1.00430899828976,"alpha[65]"
-5.48240653551071,-10.1774480027296,-2.72367246240524,1.00682733553513,"alpha[66]"
-5.33957555474075,-9.98300540298048,-2.50890136192489,1.00696099257041,"alpha[67]"
-5.51341893712295,-10.2149103640059,-2.80059960864956,1.00534822743337,"alpha[68]"
-5.32177457974993,-9.99719598515454,-2.5135943367666,1.00758732251775,"alpha[69]"
-3.93069900310038,-6.79202601081779,-0.903387337390978,1.00308807296194,"alpha[70]"
-5.29553004787298,-9.88047285936733,-2.43710483711695,1.00818507486738,"alpha[71]"
-5.78761334789434,-10.3581241303492,-3.24700518791171,1.00856560764238,"alpha[72]"
-5.38214749677313,-10.063023720967,-2.64392791878836,1.00497884424576,"alpha[73]"
-4.05245416815716,-6.95512386515511,-1.0060053414481,1.00228940576732,"alpha[74]"
-5.48416420705946,-10.2043488702632,-2.83136705736145,1.00597246664213,"alpha[75]"
-5.50233451328359,-10.1809699253697,-2.77872833468474,1.00718875489667,"alpha[76]"
-5.2205766598528,-9.99539654265204,-2.23242688625842,1.00754636459098,"alpha[77]"
-5.23554058175185,-9.92583572336858,-2.26608908514594,1.0049322538723,"alpha[78]"
-5.23746477972994,-9.91975888546332,-2.32514679293628,1.00501679002846,"alpha[79]"
-5.26795837792136,-10.0061078444852,-2.31504693042946,1.00375320166233,"alpha[80]"
-5.57765777416688,-10.3273013429237,-2.89663730587255,1.00527926765506,"alpha[81]"
-5.55899159567214,-10.2218171486822,-2.93772580555412,1.00604756301441,"alpha[82]"
-5.20753508230945,-9.88599549040821,-2.2456131563857,1.00318992833825,"alpha[83]"
-5.38081945960618,-10.0309755176926,-2.60244117145042,1.00841028702762,"alpha[84]"
-2.91410605391109,-5.69240969856852,0.916170692801638,1.00310188636698,"alpha[85]"
-5.22137783272048,-9.86264267259162,-2.28984937295744,1.00445318786196,"alpha[86]"
-5.23809333266629,-9.86523850798902,-2.32710299253897,1.00727910048834,"alpha[87]"
-5.23999007002227,-9.86986363015902,-2.34003749331895,1.00503034940883,"alpha[88]"
-3.55005480775432,-6.2420344150482,-0.43579212967897,1.00085862653335,"alpha[89]"
-5.18529328220343,-9.87507191228698,-2.15024976913553,1.00394228215904,"alpha[90]"
-3.45672004245464,-6.08706380808042,-0.508881454660417,1.00051410315783,"alpha[91]"
-5.19784383186547,-9.83815128730606,-2.23319652937819,1.00509588721624,"alpha[92]"
-5.25172606896906,-9.93551255100605,-2.33158575442818,1.00428763338812,"alpha[93]"
-5.4698312377706,-10.1647193837587,-2.71458421083078,1.00696903556456,"alpha[94]"
